Id,Label,,
1,Abstract Expressionism,,
2,Light and Space,,
3,Symbolism,,
4,Lyrical Abstraction,,
5,Impressionism,,
6,Abstract Expressionism,,
7,Op Art,,
8,Romanticism,,
9,Romanticism,,
10,Neoclassicism,,
11,Neoclassicism,,
12,Abstract Expressionism,,
13,Orientalism,,
14,Tachisme,,
15,Color Field Painting,,
16,Concretism,,
17,Concretism,,
18,Color Field Painting,,
19,Neoclassicism,,
20,Hard Edge Painting,,
21,Abstract Expressionism,,
22,Neoclassicism,,
23,Abstract Expressionism,,
24,Abstract Expressionism,,
25,Hard Edge Painting,,
26,Color Field Painting,,
27,Neo-Dada,,
28,Concretism,,
29,Abstract Expressionism,,
30,Impressionism,,
31,Abstract Expressionism,,
32,Abstract Expressionism,,
33,Abstract Expressionism,,
34,Tachisme,,
35,Abstract Expressionism,,
36,Abstract Expressionism,,
37,Neoclassicism,,
38,Neoclassicism,,
39,Color Field Painting,,
40,Post-Impressionism,,
41,Color Field Painting,,
42,Conceptual Art,,
43,Neoclassicism,,
44,Neoclassicism,,
45,Neoclassicism,,
46,Impressionism,,
47,New Realism,,
48,Neoclassicism,,
49,Abstract Expressionism,,
50,Neoclassicism,,
51,Neoclassicism,,
52,Constructivism,,
53,Neoplasticism,,
54,Art Deco,,
55,Romanticism,,
56,Conceptual Art,,
57,Color Field Painting,,
58,Photorealism,,
59,Abstract Expressionism,,
60,Neoclassicism,,
61,Social Realism,,
62,Neoclassicism,,
63,Post-Impressionism,,
64,Neoclassicism,,
65,Neoclassicism,,
66,Neoclassicism,,
67,Neoclassicism,,
68,Realism,,
69,Conceptual Art,,
70,Expressionism,,
71,Ukiyo-e,,
72,Orphism,,
73,Conceptual Art,,
74,Op Art,,
75,Expressionism,,
76,Color Field Painting,,
77,Color Field Painting,,
78,Realism,,
79,Neoclassicism,,
80,Neoclassicism,,
81,Neoclassicism,,
82,Neoclassicism,,
83,Expressionism,,
84,Neoclassicism,,
85,Baroque,,
86,Neo-Romanticism,,
87,Conceptual Art,,
88,Abstract Expressionism,,
89,Conceptual Art,,
90,Color Field Painting,,
91,Neoclassicism,,
92,Color Field Painting,,
93,Neoclassicism,,
94,Neoclassicism,,
95,Neoclassicism,,
96,Academicism,,
97,Abstract Expressionism,,
98,Neoclassicism,,
99,Dada,,
100,Realism,,
101,Abstract Art,,
102,Symbolism,,
103,Conceptual Art,,
104,Magic Realism,,
105,Neoclassicism,,
106,Conceptual Art,,
107,Color Field Painting,,
108,Color Field Painting,,
109,Neo-Geo,,
110,Neoclassicism,,
111,Neoclassicism,,
112,Impressionism,,
113,Abstract Expressionism,,
114,Abstract Expressionism,,
115,Neoclassicism,,
116,Neoclassicism,,
117,Neoclassicism,,
118,Symbolism,,
119,Conceptual Art,,
120,Art Nouveau (Modern),,
121,Realism,,
122,Neoclassicism,,
123,Art Nouveau (Modern),,
124,Conceptual Art,,
125,Color Field Painting,,
126,Abstract Expressionism,,
127,Color Field Painting,,
128,Neoclassicism,,
129,Orientalism,,
130,Neoclassicism,,
131,Post-Impressionism,,
